,Confidence,Detected,DetectedClass,class,filename,height,loc_Accuracy,min_tresh,width,xmax,xmin,ymax,ymin
0,0.9700876474380493,True,T-Shirt_Regular,T-Shirt_Regular,1.jpg,276.0,0.8644006528571301,0.2,183.0,172.0,14.0,236.0,64.0
0,0.9700876474380493,True,T-Shirt_Regular,T-Shirt_Regular,1.jpg,276.0,0.8644006528571301,0.4,183.0,172.0,14.0,236.0,64.0
0,0.9700876474380493,True,T-Shirt_Regular,T-Shirt_Regular,1.jpg,276.0,0.8644006528571301,0.6,183.0,172.0,14.0,236.0,64.0
0,0.9700876474380493,True,T-Shirt_Regular,T-Shirt_Regular,1.jpg,276.0,0.8644006528571301,0.8,183.0,172.0,14.0,236.0,64.0
1,0.45416608452796936,True,T-Shirt_Regular,T-Shirt_Regular,10.jpg,300.0,0.9358405970715645,0.2,168.0,167.0,5.0,300.0,130.0
1,0.45416608452796936,True,T-Shirt_Regular,T-Shirt_Regular,10.jpg,300.0,0.9358405970715645,0.4,168.0,167.0,5.0,300.0,130.0
1,0.8992670774459839,False,Shirt_Polo,T-Shirt_Regular,10.jpg,300.0,0.9358405970715645,0.6,168.0,167.0,5.0,300.0,130.0
1,0.8992670774459839,False,Shirt_Polo,T-Shirt_Regular,10.jpg,300.0,0.9358405970715645,0.8,168.0,167.0,5.0,300.0,130.0
2,0.9110813736915588,False,Shirt_Polo,T-Shirt_Regular,2.jpg,183.0,0.0,0.2,276.0,271.0,62.0,183.0,1.0
2,0.9110813736915588,False,Shirt_Polo,T-Shirt_Regular,2.jpg,183.0,0.0,0.4,276.0,271.0,62.0,183.0,1.0
2,0.9110813736915588,False,Shirt_Polo,T-Shirt_Regular,2.jpg,183.0,0.0,0.6,276.0,271.0,62.0,183.0,1.0
2,0.9110813736915588,False,Shirt_Polo,T-Shirt_Regular,2.jpg,183.0,0.0,0.8,276.0,271.0,62.0,183.0,1.0
3,0.9967983365058899,True,T-Shirt_Regular,T-Shirt_Regular,3.jpg,183.0,0.9388858788141992,0.2,275.0,242.0,125.0,182.0,67.0
3,0.9967983365058899,True,T-Shirt_Regular,T-Shirt_Regular,3.jpg,183.0,0.9388858788141992,0.4,275.0,242.0,125.0,182.0,67.0
3,0.9967983365058899,True,T-Shirt_Regular,T-Shirt_Regular,3.jpg,183.0,0.9388858788141992,0.6,275.0,242.0,125.0,182.0,67.0
3,0.9967983365058899,True,T-Shirt_Regular,T-Shirt_Regular,3.jpg,183.0,0.9388858788141992,0.8,275.0,242.0,125.0,182.0,67.0
4,0.9978281855583191,True,T-Shirt_Regular,T-Shirt_Regular,4.jpg,275.0,0.8747512911912722,0.2,183.0,183.0,6.0,273.0,81.0
4,0.9978281855583191,True,T-Shirt_Regular,T-Shirt_Regular,4.jpg,275.0,0.8747512911912722,0.4,183.0,183.0,6.0,273.0,81.0
4,0.9978281855583191,True,T-Shirt_Regular,T-Shirt_Regular,4.jpg,275.0,0.8747512911912722,0.6,183.0,183.0,6.0,273.0,81.0
4,0.9978281855583191,True,T-Shirt_Regular,T-Shirt_Regular,4.jpg,275.0,0.8747512911912722,0.8,183.0,183.0,6.0,273.0,81.0
5,0.4910082519054413,False,Top_Casual,T-Shirt_Regular,5.jpg,275.0,0.0,0.2,183.0,151.0,70.0,154.0,47.0
5,0.4910082519054413,False,Top_Casual,T-Shirt_Regular,5.jpg,275.0,0.0,0.4,183.0,151.0,70.0,154.0,47.0
